GeneID	scaffold:start-end	strand	length	description	Ortho Group	EggNog	BUSCO	Secreted	TransMembrane	Protease family	CAZyme family	Transcription factor	InterPro Domains	PFAM Domains	GO terms	SecMet Cluster	SMCOG
FUN0_007739	scaffold_6:1842642-1843413	-	224	hypothetical protein													
FUN0_007740	scaffold_6:1844158-1844437	+	92	Replication termination factor 2		ENOG503NYBP											
FUN0_007741	scaffold_6:1845220-1845806	+	158	hypothetical protein		ENOG503PA1T											
FUN0_007742	scaffold_6:1846850-1847116	+	70	hypothetical protein		ENOG503PA1T											
FUN0_007743	scaffold_6:1847686-1848129	-	109	hypothetical protein		ENOG503PIKW											
FUN0_007744	scaffold_6:1848655-1849145	-	104	hypothetical protein		ENOG503PIKW											
FUN0_007744	scaffold_6:1848721-1849145	-	103	hypothetical protein		ENOG503PIKW											
FUN0_007745	scaffold_6:1850838-1852057	+	331	hypothetical protein		ENOG503NXR3									GO:0015631 tubulin binding; GO:0007023 post-chaperonin tubulin folding pathway		
FUN0_007746	scaffold_6:1852722-1853317	-	106	RING-box protein hrt1		ENOG503P2ZC									GO:0008270 zinc ion binding		
FUN0_007747	scaffold_6:1854629-1855402	+	206	hypothetical protein											GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
FUN0_007748	scaffold_6:1855417-1856631	+	316	hypothetical protein		ENOG503NX4Y									GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
FUN0_007749	scaffold_6:1858306-1870020	+	3531	hypothetical protein		ENOG503P6F3											
FUN0_007750	scaffold_6:1870470-1871321	-	230	hypothetical protein		ENOG503P66T											
FUN0_007751	scaffold_6:1871396-1876097	+	1432	hypothetical protein		ENOG503P6F3											
FUN0_007752	scaffold_6:1877151-1877769	+	205	hypothetical protein													
FUN0_007753	scaffold_6:1877846-1878193	+	96	hypothetical protein													
FUN0_007754	scaffold_6:1881431-1882407	+	290	hypothetical protein													
FUN0_007755	scaffold_6:1882874-1883453	-	173	hypothetical protein													
FUN0_007756	scaffold_6:1888884-1889621	-	192	hypothetical protein		ENOG503PDQ9											
FUN0_007757	scaffold_6:1890658-1891591	-	310	hypothetical protein		ENOG502IYF2									GO:0005515 protein binding		
FUN0_007758	scaffold_6:1892979-1893548	+	146	hypothetical protein													
FUN0_007758	scaffold_6:1892979-1893524	+	143	hypothetical protein													
FUN0_007759	scaffold_6:1895007-1895679	+	223	hypothetical protein													
FUN0_007760	scaffold_6:1896888-1897752	+	287	hypothetical protein													
FUN0_007761	scaffold_6:1898818-1900597	+	530	chromatin structure-remodeling complex subunit RSC7		ENOG503NVPY											
FUN0_007762	scaffold_6:1901387-1903326	+	629	hypothetical protein		ENOG503NZ3K											
FUN0_007763	scaffold_6:1903815-1905141	+	441	hypothetical protein		ENOG503PHBU											
FUN0_007764	scaffold_6:1905234-1906146	-	263	hypothetical protein		ENOG503NZ1E									GO:0016787 hydrolase activity		
FUN0_007765	scaffold_6:1907150-1910084	-	590	hypothetical protein		ENOG503PEET											
FUN0_007765	scaffold_6:1907552-1910084	-	480	hypothetical protein		ENOG503PEET											
FUN0_007766	scaffold_6:1910320-1910694	-	105	hypothetical protein													
FUN0_007767	scaffold_6:1911941-1912271	+	109	hypothetical protein													
FUN0_007768	scaffold_6:1912554-1912929	+	124	Hsp70 chaperone		ENOG503NVJE									GO:0005524 ATP binding; GO:0140662 ATP-dependent protein folding chaperone		
FUN0_007769	scaffold_6:1912960-1913266	+	64	hypothetical protein													
FUN0_007770	scaffold_6:1913441-1914064	-	189	hypothetical protein		ENOG503PEET											
FUN0_007771	scaffold_6:1916178-1917757	-	402	hypothetical protein		ENOG503NUFK									GO:0033961 cis-stilbene-oxide hydrolase activity; GO:0003824 catalytic activity		
FUN0_007772	scaffold_6:1918028-1919371	-	325	hypothetical protein		ENOG503PEET											
FUN0_007773	scaffold_6:1920227-1922947	+	760	hypothetical protein		ENOG503PACK									GO:0008236 serine-type peptidase activity; GO:0006508 proteolysis		
FUN0_007774	scaffold_6:1923370-1926006	+	733	hypothetical protein		ENOG503PACK									GO:0008236 serine-type peptidase activity; GO:0006508 proteolysis		
FUN0_007775	scaffold_6:1926248-1928214	-	619	hypothetical protein		ENOG503P62S											
FUN0_007775	scaffold_6:1926248-1927634	-	461	hypothetical protein		ENOG503P62S											
FUN0_007776	scaffold_6:1932522-1932960	-	145	hypothetical protein		ENOG503PJM7											
FUN0_007777	scaffold_6:1933728-1935502	-	550	hypothetical protein		ENOG503P98D											
FUN0_007778	scaffold_6:1939405-1940247	+	263	hypothetical protein													
FUN0_007779	scaffold_6:1940578-1942672	-	521	hypothetical protein		ENOG503NWFT									GO:0022857 transmembrane transporter activity; GO:0055085 transmembrane transport		
FUN0_007780	scaffold_6:1944791-1948876	+	1285	histone methyltransferase set1		ENOG503NVQQ									GO:0005515 protein binding; GO:0003723 RNA binding; GO:0042800 histone H3K4 methyltransferase activity; GO:0003676 nucleic acid binding; GO:0051568 histone H3-K4 methylation		
FUN0_007781	scaffold_6:1949277-1950292	-	288	vesicular-fusion protein S17		ENOG503NWP2									GO:0005515 protein binding; GO:0006886 intracellular protein transport		
FUN0_007782	scaffold_6:1951519-1952231	-	146	hypothetical protein		ENOG503P5M6									GO:0016021 membrane		
FUN0_007783	scaffold_6:1952821-1953548	-	184	Mitochondrial import inner membrane translocase subunit tim22		ENOG503P30H									GO:0042721 TIM22 mitochondrial import inner membrane insertion complex; GO:0045039 protein insertion into mitochondrial inner membrane		
FUN0_007784	scaffold_6:1953792-1955607	-	587	hypothetical protein		ENOG503PGYU											
FUN0_007785	scaffold_6:1956674-1957582	-	269	hypothetical protein		ENOG503PI4Q											
FUN0_007786	scaffold_6:1957922-1959684	+	452	Cytosolic seryl-tRNA synthetase		ENOG503NX0Y									GO:0000166 nucleotide binding; GO:0004828 serine-tRNA ligase activity; GO:0004812 aminoacyl-tRNA ligase activity; GO:0005524 ATP binding; GO:0006434 seryl-tRNA aminoacylation; GO:0006418 tRNA aminoacylation for protein translation		
FUN0_007787	scaffold_6:1960123-1963306	+	1007	hypothetical protein		ENOG503PBB7									GO:0004842 ubiquitin-protein transferase activity; GO:0046872 metal ion binding; GO:0016567 protein ubiquitination		
FUN0_007788	scaffold_6:1964952-1965383	+	101	hypothetical protein		ENOG503NXCI											
FUN0_007789	scaffold_6:1965391-1965619	+	75	hypothetical protein		ENOG503NXCI											
FUN0_007790	scaffold_6:1966857-1968356	-	448	bifunctional endoribonuclease/protein kinase ire1		ENOG503NUNM									GO:0004672 protein kinase activity; GO:0005524 ATP binding; GO:0004674 protein serine/threonine kinase activity; GO:0004521 RNA endonuclease activity; GO:0004540 ribonuclease activity; GO:0006397 mRNA processing; GO:0030968 endoplasmic reticulum unfolded protein response; GO:0006468 protein phosphorylation		
FUN0_007791	scaffold_6:1968542-1970525	-	625	bifunctional endoribonuclease/protein kinase ire1		ENOG503NUNM									GO:0005515 protein binding		
FUN0_007792	scaffold_6:1970781-1972379	+	401	WD repeat-containing protein jip5		ENOG503NWYK									GO:0005515 protein binding		
FUN0_007793	scaffold_6:1973136-1975313	+	532	hypothetical protein		ENOG503NZDQ									GO:0004029 aldehyde dehydrogenase (NAD+) activity; GO:0016491 oxidoreductase activity; GO:0016620 oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor		
FUN0_007794	scaffold_6:1975842-1977583	+	434	hypothetical protein		ENOG503PD2X											
FUN0_007794	scaffold_6:1975842-1977446	+	406	hypothetical protein		ENOG503PD2X											
FUN0_007794	scaffold_6:1975842-1977412	+	390	hypothetical protein		ENOG503PD2X											
FUN0_007794	scaffold_6:1976185-1977412	+	294	hypothetical protein		ENOG503PD2X											
FUN0_007795	scaffold_6:1978849-1980273	+	415	hypothetical protein		ENOG503PHKM									GO:0003729 mRNA binding; GO:0046872 metal ion binding		
FUN0_007796	scaffold_6:1982116-1982469	-	80	hypothetical protein		ENOG503NW9J											
FUN0_007797	scaffold_6:1982634-1985279	-	799	hypothetical protein		ENOG503NW9J									GO:0005515 protein binding		
FUN0_13075	scaffold_6:1986685-1987126	+	96	Urease		ENOG503NU8N									GO:0009039 urease activity; GO:0016151 nickel cation binding; GO:0006807 nitrogen compound metabolic process		
FUN0_007798	scaffold_6:1988412-1988907	-	108	hypothetical protein		ENOG503PGIA											
FUN0_007799	scaffold_6:1989035-1989645	+	181	hypothetical protein		ENOG503P06V									GO:0005840 ribosome; GO:0003735 structural constituent of ribosome; GO:0006412 translation		
FUN0_007800	scaffold_6:1990616-1991006	-	129	hypothetical protein													
FUN0_007801	scaffold_6:1991288-1991713	+	125	Urease		ENOG503NU8N									GO:0035550 urease complex; GO:0016810 hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; GO:0043419 urea catabolic process		
FUN0_007802	scaffold_6:1992074-1992845	+	169	Urease		ENOG503NU8N									GO:0009039 urease activity; GO:0016787 hydrolase activity; GO:0016151 nickel cation binding; GO:0006807 nitrogen compound metabolic process		
FUN0_007803	scaffold_6:1994095-1994377	-	93	hypothetical protein													
FUN0_007804	scaffold_6:1995138-1995888	+	213	hypothetical protein		ENOG503Q5CX											
FUN0_007805	scaffold_6:2002168-2002462	-	97	hypothetical protein													
FUN0_007806	scaffold_6:2003738-2005648	-	597	hypothetical protein		ENOG503P9XI											
FUN0_007807	scaffold_6:2007007-2007961	+	300	hypothetical protein		ENOG503PE4Q											
FUN0_007808	scaffold_6:2009960-2011811	-	521	ribosome assembly		ENOG503NV28									GO:0005515 protein binding		
FUN0_007809	scaffold_6:2012747-2013820	+	337	Histone-lysine N-methyltransferase set-6		ENOG503P013									GO:0005515 protein binding		
FUN0_007810	scaffold_6:2014354-2016339	+	624	hypothetical protein		ENOG503P38W											
FUN0_007811	scaffold_6:2016676-2018235	-	361	hypothetical protein		ENOG503NWWB											
FUN0_007812	scaffold_6:2018352-2018861	-	127	hypothetical protein													
FUN0_007813	scaffold_6:2019585-2020545	+	264	hypothetical protein		ENOG503NV29											
FUN0_007814	scaffold_6:2020727-2023080	-	557	hypothetical protein		ENOG503NUT9									GO:0016020 membrane; GO:0022857 transmembrane transporter activity; GO:0055085 transmembrane transport		
FUN0_007815	scaffold_6:2023659-2025549	-	444	Isocitrate dehydrogenase [NADP], mitochondrial precursor (Oxalosuccinate decarboxylase)		ENOG503NVZ4									GO:0000287 magnesium ion binding; GO:0051287 NAD binding; GO:0016616 oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; GO:0004450 isocitrate dehydrogenase (NADP+) activity; GO:0006102 isocitrate metabolic process		
FUN0_007816	scaffold_6:2027206-2028922	-	444	hypothetical protein		ENOG503Q3NW											
FUN0_007816	scaffold_6:2027314-2028922	-	426	hypothetical protein		ENOG503Q3NW											
FUN0_007817	scaffold_6:2029688-2031165	-	419	hypothetical protein		ENOG503Q3NW											
FUN0_007818	scaffold_6:2031701-2033413	-	442	hypothetical protein		ENOG503Q3NW											
FUN0_007819	scaffold_6:2033735-2034940	-	313	hypothetical protein		ENOG503PAT4									GO:0004731 purine-nucleoside phosphorylase activity; GO:0003824 catalytic activity; GO:0009116 nucleoside metabolic process; GO:0006139 nucleobase-containing compound metabolic process		
FUN0_007820	scaffold_6:2035108-2036752	+	472	hypothetical protein		ENOG503PHDD											
FUN0_007821	scaffold_6:2042551-2044676	+	514	hypothetical protein		ENOG503NWFT									GO:0022857 transmembrane transporter activity; GO:0055085 transmembrane transport		
FUN0_007821	scaffold_6:2043320-2044676	+	313	hypothetical protein		ENOG503NWFT									GO:0022857 transmembrane transporter activity; GO:0055085 transmembrane transport		
FUN0_007822	scaffold_6:2046198-2046522	-	107	hypothetical protein		ENOG501GDCP									GO:0005515 protein binding		
FUN0_007823	scaffold_6:2048111-2048967	+	223	hypothetical protein		ENOG503PEJR											
FUN0_007824	scaffold_6:2049479-2054473	+	1519	1,3-beta-D-glucan synthase		ENOG503NUI9									GO:0000148 1,3-beta-D-glucan synthase complex; GO:0016020 membrane; GO:0003843 1,3-beta-D-glucan synthase activity; GO:0006075 (1->3)-beta-D-glucan biosynthetic process		
FUN0_007825	scaffold_6:2054593-2055470	+	219	1,3-beta-D-glucan synthase		ENOG503NUI9											
FUN0_007826	scaffold_6:2056697-2058686	-	628	hypothetical protein													
FUN0_007827	scaffold_6:2059964-2061153	+	327	hypothetical protein		ENOG503PGCE											
FUN0_007828	scaffold_6:2061237-2061992	-	185	hypothetical protein													
FUN0_007829	scaffold_6:2062207-2063559	-	342	hypothetical protein		ENOG503PJEE									GO:0003682 chromatin binding		
FUN0_007830	scaffold_6:2063780-2064859	+	305	hypothetical protein		ENOG503P1AY											
FUN0_007831	scaffold_6:2065830-2069518	+	1003	hypothetical protein		ENOG503PBHT									GO:0008270 zinc ion binding; GO:0000981 DNA-binding transcription factor activity, RNA polymerase II-specific; GO:0003677 DNA binding; GO:0006351 DNA-templated transcription; GO:0006355 regulation of DNA-templated transcription		
FUN0_007832	scaffold_6:2069739-2071918	-	500	battenin CLN3 protein		ENOG503NUKN									GO:0016020 membrane		
FUN0_007832	scaffold_6:2069739-2071401	-	385	battenin CLN3 protein, variant 2		ENOG503NUKN									GO:0016020 membrane		
FUN0_007833	scaffold_6:2074104-2075669	+	363	hypothetical protein		ENOG503NXZ2											
FUN0_007834	scaffold_6:2075903-2077475	+	364	hypothetical protein		ENOG503NXZ2											
FUN0_007835	scaffold_6:2077839-2080606	-	801	ATP-dependent RNA helicase dbp4		ENOG503NU3N									GO:0005524 ATP binding; GO:0003676 nucleic acid binding; GO:0003724 RNA helicase activity		
FUN0_007836	scaffold_6:2081012-2083258	-	614	pre-rRNA processing		ENOG503NXI3											
FUN0_007837	scaffold_6:2084704-2085828	-	324	Protein ccc1		ENOG503NWJG									GO:0005384 manganese ion transmembrane transporter activity; GO:0030026 intracellular manganese ion homeostasis		
FUN0_007838	scaffold_6:2089909-2090484	+	153	hypothetical protein													
FUN0_007838	scaffold_6:2090112-2090484	+	123	hypothetical protein													
FUN0_007839	scaffold_6:2091317-2093027	-	448	Protein sof1		ENOG503NV6T									GO:0005515 protein binding		
FUN0_007840	scaffold_6:2093413-2095789	+	701	hypothetical protein		ENOG503PAHD											
FUN0_007841	scaffold_6:2096034-2097290	-	294	Vacuolar protein sorting-associated protein 26		ENOG503NUY1									GO:0006886 intracellular protein transport		
FUN0_007842	scaffold_6:2098142-2099711	+	381	hypothetical protein		ENOG503NWWB											
FUN0_007843	scaffold_6:2100374-2102550	+	541	RNA polymerase-associated protein rtf1		ENOG503NU0X									GO:0003677 DNA binding		
FUN0_007844	scaffold_6:2102834-2105990	+	996	hypothetical protein		ENOG503Q54Y											
FUN0_007845	scaffold_6:2106250-2107580	+	354	hypothetical protein		ENOG503NWEC											
FUN0_007846	scaffold_6:2108214-2109641	+	392	hypothetical protein		ENOG503NWEC											
FUN0_007847	scaffold_6:2111071-2112722	+	455	hypothetical protein		ENOG503PC2M									GO:0005515 protein binding		
FUN0_007848	scaffold_6:2113696-2114155	+	152	hypothetical protein													
FUN0_007849	scaffold_6:2115765-2116459	-	212	hypothetical protein													
FUN0_007850	scaffold_6:2118127-2119757	+	523	hypothetical protein		ENOG503PBJT											
FUN0_007851	scaffold_6:2119956-2121670	-	479	hypothetical protein		ENOG503NVU4									GO:0008641 ubiquitin-like modifier activating enzyme activity		
FUN0_007852	scaffold_6:2122887-2123652	-	191	hypothetical protein		ENOG503Q6I8									GO:0071949 FAD binding		
FUN0_007853	scaffold_6:2127954-2130189	+	547	hypothetical protein		ENOG503NWP7									GO:0004499 N,N-dimethylaniline monooxygenase activity; GO:0050661 NADP binding; GO:0050660 flavin adenine dinucleotide binding		
FUN0_007854	scaffold_6:2131202-2131819	+	167	hypothetical protein		ENOG503PM2M											
FUN0_007855	scaffold_6:2132800-2134752	+	531	hypothetical protein		ENOG503NXMQ											
FUN0_007855	scaffold_6:2133221-2134752	+	424	hypothetical protein		ENOG503NXMQ											
FUN0_007856	scaffold_6:2136617-2140984	-	1006	hypothetical protein		ENOG503NX2M									GO:0016791 phosphatase activity; GO:0046856 phosphatidylinositol dephosphorylation; GO:0007165 signal transduction		
FUN0_007857	scaffold_6:2141307-2141890	+	143	hypothetical protein		ENOG503P8I8											
FUN0_007858	scaffold_6:2142081-2143087	-	295	hypothetical protein		ENOG503PGJM									GO:0005515 protein binding		
FUN0_007859	scaffold_6:2143802-2145053	+	200	Signal peptidase complex catalytic subunit		ENOG503P0U2									GO:0016021 membrane; GO:0016020 membrane; GO:0004252 serine-type endopeptidase activity; GO:0008233 peptidase activity; GO:0006465 signal peptide processing		
FUN0_007860	scaffold_6:2146197-2148107	-	347	hypothetical protein		ENOG503PDTJ											
FUN0_007860	scaffold_6:2146509-2148107	-	276	hypothetical protein		ENOG503PDTJ											
FUN0_007861	scaffold_6:2149527-2150146	+	185	hypothetical protein													
FUN0_007863	scaffold_6:2153689-2154146	-	121	Glutathione synthetase		ENOG503NU0F									GO:0005524 ATP binding; GO:0004363 glutathione synthase activity; GO:0006750 glutathione biosynthetic process		
FUN0_007864	scaffold_6:2157314-2159334	-	534	alpha 1,2 mannosyltransferase		ENOG503NY93									GO:0016757 glycosyltransferase activity		
FUN0_007864	scaffold_6:2157314-2159281	-	534	alpha 1,2 mannosyltransferase, variant 2		ENOG503NY93									GO:0016757 glycosyltransferase activity		
FUN0_007864	scaffold_6:2157314-2159236	-	519	alpha 1,2 mannosyltransferase, variant 3		ENOG503NY93									GO:0016757 glycosyltransferase activity		
FUN0_007865	scaffold_6:2159461-2160119	+	123	DNA-directed RNA polymerase II core subunit rpb9		ENOG503P5CS									GO:0008270 zinc ion binding; GO:0003676 nucleic acid binding; GO:0006351 DNA-templated transcription; GO:0006379 mRNA cleavage		
FUN0_007866	scaffold_6:2162670-2163224	+	128	hypothetical protein		ENOG503PFXW									GO:0009277 fungal-type cell wall; GO:0005199 structural constituent of cell wall		
FUN0_007867	scaffold_6:2164985-2165853	+	254	hypothetical protein													
FUN0_007867	scaffold_6:2164985-2165456	+	138	hypothetical protein													
FUN0_007868	scaffold_6:2166423-2166986	+	131	hypothetical protein		ENOG503PFXW									GO:0009277 fungal-type cell wall; GO:0005199 structural constituent of cell wall		
FUN0_007869	scaffold_6:2169444-2170092	-	179	hypothetical protein													
FUN0_007870	scaffold_6:2170737-2172816	+	621	hypothetical protein		ENOG503Q3BT									GO:0005643 nuclear pore		
FUN0_007871	scaffold_6:2173032-2175562	+	734	Chromatin assembly factor 1 subunit		ENOG503NXAC									GO:0005515 protein binding; GO:0006335 DNA replication-dependent chromatin assembly		
FUN0_007872	scaffold_6:2176865-2178124	-	362	translation initiation factor eIF-2 beta subunit		ENOG503NWT7									GO:0003743 translation initiation factor activity; GO:0006413 translational initiation		
FUN0_007873	scaffold_6:2178318-2179486	+	297	atp3 gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase		ENOG503NYDF									GO:0045261 proton-transporting ATP synthase complex, catalytic core F(1); GO:0046933 proton-transporting ATP synthase activity, rotational mechanism; GO:0015986 proton motive force-driven ATP synthesis		
FUN0_007874	scaffold_6:2180673-2181899	-	267	hypothetical protein		ENOG503A0TD									GO:0016491 oxidoreductase activity		
FUN0_007875	scaffold_6:2184430-2184835	-	134	hypothetical protein													
FUN0_007876	scaffold_6:2186597-2189008	-	560	D-lactate ferricytochrome c oxidoreductase		ENOG503NUBF									GO:0003824 catalytic activity; GO:0071949 FAD binding; GO:0050660 flavin adenine dinucleotide binding		
FUN0_007876	scaffold_6:2186597-2188302	-	360	D-lactate ferricytochrome c oxidoreductase, variant 2		ENOG503NUBF									GO:0003824 catalytic activity; GO:0071949 FAD binding; GO:0050660 flavin adenine dinucleotide binding		
FUN0_007877	scaffold_6:2189884-2192253	-	560	D-lactate ferricytochrome c oxidoreductase		ENOG503NUBF									GO:0003824 catalytic activity; GO:0071949 FAD binding; GO:0050660 flavin adenine dinucleotide binding		
FUN0_007877	scaffold_6:2189884-2191738	-	406	D-lactate ferricytochrome c oxidoreductase, variant 2		ENOG503NUBF									GO:0003824 catalytic activity; GO:0071949 FAD binding; GO:0050660 flavin adenine dinucleotide binding		
FUN0_007878	scaffold_6:2192948-2193451	-	133	54S ribosomal protein L38, mitochondrial		ENOG503P2X8									GO:0005840 ribosome; GO:0015934 large ribosomal subunit; GO:0003735 structural constituent of ribosome; GO:0006412 translation		
FUN0_007879	scaffold_6:2194064-2196236	+	453	hexokinase		ENOG503NW32									GO:0005536 glucose binding; GO:0005524 ATP binding; GO:0016773 phosphotransferase activity, alcohol group as acceptor; GO:0004396 hexokinase activity; GO:0005975 carbohydrate metabolic process; GO:0006096 glycolytic process; GO:0001678 intracellular glucose homeostasis		
FUN0_007880	scaffold_6:2196838-2198134	-	359	hypothetical protein		ENOG503PB99											
FUN0_007880	scaffold_6:2197147-2198134	-	274	hypothetical protein		ENOG503PB99											
FUN0_007881	scaffold_6:2201526-2203519	+	613	hypothetical protein		ENOG503Q460											
FUN0_007882	scaffold_6:2204138-2204603	+	136	hypothetical protein													
FUN0_007883	scaffold_6:2205066-2206781	-	501	hypothetical protein		ENOG503Q4HM									GO:0005515 protein binding		
FUN0_007883	scaffold_6:2205306-2206781	-	439	hypothetical protein		ENOG503Q4HM									GO:0005515 protein binding		
FUN0_007883	scaffold_6:2205395-2206781	-	427	hypothetical protein		ENOG503Q4HM									GO:0005515 protein binding		
FUN0_007883	scaffold_6:2205653-2206781	-	375	hypothetical protein		ENOG503Q4HM									GO:0005515 protein binding		
FUN0_007884	scaffold_6:2207150-2207535	+	71	hypothetical protein		ENOG503NV8E											
FUN0_007885	scaffold_6:2207556-2208569	+	265	hypothetical protein		ENOG503NV8E											
FUN0_007886	scaffold_6:2208849-2210563	-	536	hypothetical protein													
FUN0_007887	scaffold_6:2211442-2212849	+	311	hypothetical protein		ENOG503NV8E											
FUN0_007888	scaffold_6:2213502-2215160	-	536	hypothetical protein		ENOG503NX7E									GO:0016491 oxidoreductase activity		
FUN0_007889	scaffold_6:2215524-2218526	+	775	hypothetical protein		ENOG503NUZ4									GO:0004553 hydrolase activity, hydrolyzing O-glycosyl compounds; GO:0071704 organic substance metabolic process; GO:0005975 carbohydrate metabolic process		
FUN0_007889	scaffold_6:2215524-2217982	+	609	hypothetical protein		ENOG503NUZ4									GO:0004553 hydrolase activity, hydrolyzing O-glycosyl compounds; GO:0071704 organic substance metabolic process; GO:0005975 carbohydrate metabolic process		
FUN0_007890	scaffold_6:2219238-2220907	+	401	hypothetical protein		ENOG503NZCJ									GO:0004185 serine-type carboxypeptidase activity; GO:0006508 proteolysis		
FUN0_007891	scaffold_6:2221741-2222119	-	125	hypothetical protein													
FUN0_007892	scaffold_6:2222684-2223247	+	94	hypothetical protein		ENOG503NZCJ									GO:0004185 serine-type carboxypeptidase activity; GO:0006508 proteolysis		
FUN0_007893	scaffold_6:2223684-2225628	-	517	Glucosaminyl phosphatidylinositol (GlcN-PI) nositol acylation protein		ENOG503NUJT									GO:0016021 membrane; GO:0016746 acyltransferase activity; GO:0006506 GPI anchor biosynthetic process		
FUN0_007894	scaffold_6:2229504-2231575	+	357	hypothetical protein		ENOG503PBHK											
FUN0_007895	scaffold_6:2234717-2235238	+	107	hypothetical protein		ENOG503PBHK											
FUN0_007896	scaffold_6:2236245-2236803	+	118	hypothetical protein		ENOG503PBHK											
FUN0_007897	scaffold_6:2238129-2240213	-	513	hypothetical protein		ENOG503P9ZH									GO:0016020 membrane; GO:0022857 transmembrane transporter activity; GO:0055085 transmembrane transport		
FUN0_007897	scaffold_6:2238129-2239956	-	412	hypothetical protein		ENOG503P9ZH									GO:0016020 membrane; GO:0022857 transmembrane transporter activity; GO:0055085 transmembrane transport		
FUN0_007898	scaffold_6:2241547-2243607	-	510	hypothetical protein		ENOG503P9ZH									GO:0016020 membrane; GO:0022857 transmembrane transporter activity; GO:0055085 transmembrane transport		
FUN0_007899	scaffold_6:2245481-2245899	-	105	hypothetical protein		ENOG503P9ZH											
FUN0_007900	scaffold_6:2246009-2247525	-	369	hypothetical protein		ENOG503P9ZH									GO:0016021 membrane; GO:0016020 membrane; GO:0020037 heme binding; GO:0022857 transmembrane transporter activity; GO:0004129 cytochrome-c oxidase activity; GO:0055085 transmembrane transport; GO:0009060 aerobic respiration		
FUN0_007901	scaffold_6:2249475-2251653	+	604	hypothetical protein		ENOG503NZFG									GO:0016491 oxidoreductase activity		
FUN0_007902	scaffold_6:2252157-2253921	+	521	hypothetical protein		ENOG50											
FUN0_007903	scaffold_6:2257005-2257686	-	176	hypothetical protein													
FUN0_007904	scaffold_6:2258192-2259802	-	501	hypothetical protein		ENOG503P95Y											
FUN0_007905	scaffold_6:2259823-2260075	-	83	hypothetical protein		ENOG503P95Y											
FUN0_007906	scaffold_6:2262187-2264574	+	507	Calcium/calmodulin-dependent protein kinase type I		ENOG503NX22									GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
FUN0_007907	scaffold_6:2265323-2266449	-	357	hypothetical protein		ENOG503P959											
FUN0_007908	scaffold_6:2268802-2269324	+	155	hypothetical protein		ENOG503P8KU											
FUN0_007909	scaffold_6:2270768-2272056	-	321	hypothetical protein		ENOG503Q5CX									GO:0005525 GTP binding		
FUN0_007910	scaffold_6:2273735-2274465	+	207	Endocytosis and vacuole integrity protein		ENOG503NUAH											
FUN0_007911	scaffold_6:2275017-2276112	-	342	hypothetical protein		ENOG503NU73									GO:0016491 oxidoreductase activity		
FUN0_007912	scaffold_6:2276229-2277605	+	426	hypothetical protein		ENOG503PF4B											
FUN0_007913	scaffold_6:2278317-2280455	+	629	hypothetical protein		ENOG503P26V											
FUN0_007914	scaffold_6:2285252-2286259	+	283	hypothetical protein		ENOG503PEQS											
FUN0_007915	scaffold_6:2286566-2288904	-	520	hypothetical protein		ENOG503NW0S									GO:0003954 NADH dehydrogenase activity; GO:0016491 oxidoreductase activity; GO:0006116 NADH oxidation		
FUN0_007916	scaffold_6:2289295-2289900	+	184	hypothetical protein		ENOG503P1ZP											
FUN0_007917	scaffold_6:2290130-2291510	-	334	hypothetical protein		ENOG503NXB1											
FUN0_007918	scaffold_6:2292173-2292752	+	192	hypothetical protein		ENOG503PJHH											
FUN0_007919	scaffold_6:2293728-2302904	-	2297	hypothetical protein		ENOG503NZSS											
FUN0_007920	scaffold_6:2304425-2306267	-	486	hypothetical protein		ENOG503NYRU									GO:0008180 COP9 signalosome; GO:0005515 protein binding; GO:0000338 protein deneddylation		
FUN0_007922	scaffold_6:2307694-2309365	-	452	hypothetical protein		ENOG503NZY5											
FUN0_007923	scaffold_6:2309474-2310545	-	283	hypothetical protein		ENOG503NZV9									GO:0016491 oxidoreductase activity		
FUN0_007924	scaffold_6:2310959-2313173	+	631	hypothetical protein		ENOG503NZRH											
FUN0_007925	scaffold_6:2315223-2315949	+	179	hypothetical protein													
FUN0_007926	scaffold_6:2316181-2317723	+	479	hypothetical protein		ENOG503PBAN											
FUN0_007927	scaffold_6:2318090-2320843	+	742	ndufs1 NADH-ubiquinone oxidoreductase subunit		ENOG503NW5Z									GO:0016020 membrane; GO:0051536 iron-sulfur cluster binding; GO:0008137 NADH dehydrogenase (ubiquinone) activity; GO:0016651 oxidoreductase activity, acting on NAD(P)H; GO:0016491 oxidoreductase activity; GO:0042773 ATP synthesis coupled electron transport		
FUN0_007928	scaffold_6:2321063-2321803	+	182	hypothetical protein		ENOG503P3VZ									GO:0003824 catalytic activity		
FUN0_007929	scaffold_6:2322070-2325038	-	812	hypothetical protein		ENOG503Q531											
FUN0_007930	scaffold_6:2328497-2329669	+	260	hypothetical protein		ENOG503NYM9									GO:0016491 oxidoreductase activity		
